11:48:48:712|	Широта: 53.20853281	Долгота:50.25964078
11:48:49:201|	Широта: 53.20853317	Долгота:50.25964078
11:48:49:693|	Широта: 53.20853317	Долгота:50.25964035
11:48:50:183|	Широта: 53.20853317	Долгота:50.2596404
11:48:50:673|	Широта: 53.20853317	Долгота:50.25964078
11:48:51:164|	Широта: 53.20853286	Долгота:50.25964078
11:48:51:653|	Широта: 53.20853317	Долгота:50.25964036
11:48:52:142|	Широта: 53.20853317	Долгота:50.25964078
11:48:52:633|	Широта: 53.20853317	Долгота:50.25964078
11:48:53:122|	Широта: 53.20853283	Долгота:50.25964078
11:48:53:612|	Широта: 53.20853317	Долгота:50.25964034
11:48:54:101|	Широта: 53.20853317	Долгота:50.25964078
11:48:54:592|	Широта: 53.20853284	Долгота:50.25964078
11:48:55:081|	Широта: 53.2085328	Долгота:50.25964047
11:48:55:572|	Широта: 53.20853281	Долгота:50.25964048
11:48:56:064|	Широта: 53.20853276	Долгота:50.25964039
11:48:56:553|	Широта: 53.20853278	Долгота:50.2596404
11:48:57:042|	Широта: 53.20853287	Долгота:50.25964034
11:48:57:533|	Широта: 53.20853285	Долгота:50.25964078
11:48:58:022|	Широта: 53.20853279	Долгота:50.25964034
11:48:58:513|	Широта: 53.20853317	Долгота:50.25964037
11:48:59:002|	Широта: 53.20853317	Долгота:50.25964046
11:48:59:493|	Широта: 53.2085328	Долгота:50.2596404
11:48:59:981|	Широта: 53.20853284	Долгота:50.25964034
11:49:00:472|	Широта: 53.20853317	Долгота:50.2596404
11:49:00:961|	Широта: 53.20853317	Долгота:50.25964078
11:49:01:453|	Широта: 53.20853317	Долгота:50.25964078
11:49:01:942|	Широта: 53.20853282	Долгота:50.25964036
11:49:02:433|	Широта: 53.20853287	Долгота:50.25964078
11:49:02:922|	Широта: 53.20853283	Долгота:50.25964048
11:49:03:413|	Широта: 53.20853317	Долгота:50.25964078
11:49:03:902|	Широта: 53.20853281	Долгота:50.25964047
11:49:04:392|	Широта: 53.20853274	Долгота:50.25964044
11:49:04:881|	Широта: 53.20853283	Долгота:50.25964078
11:49:05:374|	Широта: 53.20853286	Долгота:50.25964078
11:49:05:861|	Широта: 53.20853277	Долгота:50.25964078
11:49:06:353|	Широта: 53.20853276	Долгота:50.25964078
11:49:06:843|	Широта: 53.20853317	Долгота:50.25964034
11:49:07:333|	Широта: 53.20853317	Долгота:50.25964037
